a0a3c30b 2025-09-10  Initial commit
77c45b3c 2025-09-13  feat(signal): wire orchestrator behind feature flag, add singleton + integration test; update STATUS.md and PR template
d597990c 2025-09-13  chore(signal): wire SignalOrchestrator via singleton and pass to RulesEngine; add integration test and docs update
42ecf5a0 2025-09-13  tests(integration): add JS e2e orchestrator test and mock logger/http to avoid open handles; remove TS variant
6dcd79c4 2025-09-13  tests(integration): add JS e2e orchestrator test (mock logger/http) and remove TS variant
2f7c518f 2025-09-13  ci: re-run CI to capture logs
97b99b6c 2025-09-13  ci: re-run CI again to capture logs
eda7b62d 2025-09-13  ci: trigger clean run for corrected workflow
93924cf3 2025-09-13  ci: trigger fresh run for logs
40663aea 2025-09-13  ci(workflow): normalize CI workflow and add workflow_dispatch
53bca67c 2025-09-13  ci: add smoke workflow to verify Actions logs
0ee1f187 2025-09-13  ci(workflow): normalize CI workflow and add workflow_dispatch
63a6e7a9 2025-09-13  ci: add workflow-lint job and guidelines to prevent malformed workflows
b9c47fe8 2025-09-13  docs: add CONTRIBUTING.md with workflow editing guidelines
2bb32d8e 2025-09-13  ci: add actionlint-based workflow schema validation for PRs
32d60852 2025-09-13  feat(orchestrator): add setupOrchestrator stub and wire into bootstrap behind ENABLE_ORCHESTRATOR
31ab4635 2025-09-13  docs: mark Wiring orchestrator milestone In Progress
68fb3e1e 2025-09-13  docs: add CI workflow badge to README
a48be5c6 2025-09-13  demo: pass orchestrator singleton into RulesEngine in run_rules_demo.js
5f2bf6f1 2025-09-13  tests(integration): harden E2E orchestrator teardown + mock pino to avoid worker threads
e11b1e94 2025-09-14  tests: centralized teardown, mock pino in e2e; silence Zerodha parse errors during tests
5f8d8c0c 2025-09-14  chore(tests): add STATUS.md for feature/signal-orchestrator stabilization
4151eab7 2025-09-14  ci: set ZERODHA_SILENCE_PARSE=true for CI test/integration jobs
6be5970c 2025-09-14  docs(STATUS): record CI env change (ZERODHA_SILENCE_PARSE)
c558945c 2025-09-14  docs(STATUS): mark PR #17 ready for review
68fef61a 2025-09-14  feat(zerodha): defensive buffer-length checks in parseBinaryTick; add unit test for short buffers
e2cdf502 2025-09-14  Merge pull request #17 from nandaaiinnovation-creator/feature/signal-orchestrator
5b96416f 2025-09-14  (origin/feature/signal-orchestrator, feature/signal-orchestrator) docs(STATUS): add rollback & monitoring checklist post-merge
639d1b2d 2025-09-14  feat(signal): add persist helper, migration, seeder, infra smoke test and CI job
e4cdfc3b 2025-09-14  feat(signal): wire persistSignal into orchestrator; return saved entity
3acfc748 2025-09-14  feat(signal): add Signal entity, register TypeORM entities, extend smoke test to assert DB+WS; add test:smoke script
7b6b7326 2025-09-14  ci(workflows): fix yamllint issues in check-no-artifacts.yml
4511fc34 2025-09-14  ci: fix workflow YAML yamllint issues (remove code fences, use block lists)
07d216da 2025-09-14  ci: yamllint fixes for workflows (disable truthy warnings)
94358c0a 2025-09-14  ci: fix workflow-schema-lint action tag (use nektos/actionlint@v1)
7ec3756b 2025-09-14  ci: yamllint/schema fixes for workflows (replace inline arrays, add yamllint disables, fix actionlint tag)
7158de33 2025-09-14  ci(workflows): convert inline arrays to block lists, normalize workflow_dispatch to avoid yamllint warnings
43f061de 2025-09-14  ci(workflows): normalize workflow_dispatch and list formatting for yamllint
1069029a 2025-09-14  ci: trigger workflow re-run after lint fixes
7623c8b5 2025-09-14  (origin/feature/signal-persist, origin/chore/workflow-schema-lint-fix) ci(workflows): run actionlint via Docker image to avoid action resolution failures
522c2abd 2025-09-14  (feature/signal-persist) Merge pull request #20 from nandaaiinnovation-creator/chore/workflow-schema-lint-fix
633455a0 2025-09-14  (origin/chore/schema-lint-fallback, chore/schema-lint-fallback) ci(workflows): fallback run actionlint via docker run to avoid action resolution
c3596e5d 2025-09-14  Merge pull request #21 from nandaaiinnovation-creator/chore/schema-lint-fallback
93a9247d 2025-09-14  docs: mark Signal Generation milestone done in STATUS.md
869025b3 2025-09-14  feat(rules): scaffold RulesEngine, entity, migration, seeder, and startup wiring
c97e0e82 2025-09-14  ci(infra): run migrations, seeders, start backend with ENABLE_RULES_ENGINE and run smoke tests before full tests
ecd387d4 2025-09-14  db(migration): add rule_configs table to initial migration for seeding
762434fa 2025-09-14  ci(infra): increase backend wait timeout and dump logs on failure for debugging
3c4fe521 2025-09-14  fix(ci): ensure TypeORM connection options by using createAppConnection()
f6da2ff6 2025-09-14  chore(status): mark Rules Engine milestone Done (CI infra-validated run 17710518656)
462c79c5 2025-09-14  ci: add HTTP /health check after backend start in infra-validation workflow
62120850 2025-09-14  test(ci): add /health smoke test and initial rulesEngine init unit tests
396abb8b 2025-09-14  (origin/chore/tests/rulesEngine-health) test(ci): add /health smoke test and lightweight rulesEngine init unit tests
c0cca5da 2025-09-14  Merge pull request #25 from nandaaiinnovation-creator/chore/tests/rulesEngine-health
8443f32f 2025-09-14  (origin/feature/rules-engine-scaffold, feature/rules-engine-scaffold) chore(status): link follow-up Issue #23 and propose Frontend Dashboard as next milestone with DoD
8c6d1aa9 2025-09-14  Merge feature/rules-engine-scaffold: Rules Engine scaffold & CI infra-validation
55ce13c1 2025-09-14  feat(frontend): scaffold minimal Vite+React dashboard and DoD in STATUS.md
987ed612 2025-09-14  feat(frontend): add chart panel, rules panel, and live signal feed
e7ef98c0 2025-09-14  (origin/feature/frontend-dashboard-minimal, feature/frontend-dashboard-minimal) chore(frontend): hygiene + rules API wrapper; refactor RulesPanel to use API wrapper
a1894984 2025-09-14  Merge pull request #26 from nandaaiinnovation-creator/feature/frontend-dashboard-minimal
79038561 2025-09-14  test(rulesEngine): add unit tests for static candle helpers
c478109a 2025-09-14  test(rulesEngine): fix helper fixtures for isInsideBar/isEngulfing
bd10b1d7 2025-09-15  (origin/chore/issue-23-increase-coverage, chore/issue-23-increase-coverage) chore: tests + docs + lint fixes (issue #23 #24)
06593d55 2025-09-15  Merge pull request #27 from nandaaiinnovation-creator/chore/issue-23-increase-coverage
0504d405 2025-09-15  feat(dashboard): restore RulesPanel, add chart/test infra, dashboard polish
4e5fdac7 2025-09-15  feat(dashboard): add chart tooltip & legend, tests, and polish
5f3fb124 2025-09-15  chore(dashboard): extract chart styles, improve tooltip accuracy, add RulesPanel interaction tests
e282eefd 2025-09-15  refactor(dashboard): extract ChartOverlay, CSS module, keyboard a11y for tooltip/legend, and tests
3071e4b5 2025-09-15  (origin/feat/dashboard-polish, feat/dashboard-polish) feat(dashboard): multi-series legend, ChartOverlay, tests; scaffold Cypress & a11y smoke
d107ef99 2025-09-16  chore(ci): enable esbuild remediation for e2e CI test
0112ef97 2025-09-16  ci: trigger e2e run (branch-correct)
0cb829df 2025-09-16  ci(workflow): PowerShell-safe e2e.lock check (Windows)
bfeb4cc1 2025-09-16  ci: trigger e2e run after workflow fix
90c92dec 2025-09-16  ci(workflow): make lock-check resilient and non-fatal on PowerShell
81d4b155 2025-09-16  ci: trigger e2e run after making lock-check resilient
21ed5393 2025-09-16  ci(workflow): make esbuild optional fix non-fatal and call with &
6ab85bf9 2025-09-16  ci: trigger e2e run after esbuild step fix
3609e7dc 2025-09-16  ci: add frontend e2e orchestrator and Windows esbuild fix scripts
4ddba081 2025-09-16  ci: trigger e2e run with scripts added
a540ba35 2025-09-16  fix(e2e): remove duplicated content causing SyntaxError in run-e2e.js
237a3d5b 2025-09-16  ci(workflow): allow orchestrator to run its own install (remove --skip-install)
0190450b 2025-09-16  ci(e2e): avoid requiring cypress in config (export plain object)
a223d0ef 2025-09-16  test(e2e): add minimal cypress support/e2e.js placeholder to satisfy CI
fb5a5d6e 2025-09-16  ci(e2e): increase test-server wait, add diagnostics dump on failure
2c575dd3 2025-09-16  (origin/feat/e2e-ci-test, feat/e2e-ci-test) ci(e2e): stream test-server logs to orchestrator, add test-server diagnostics
9d143c89 2025-09-16  ci(e2e): add preflight check and increase health timeouts
c9c3184c 2025-09-16  ci(e2e): run preflight after npm ci; tail dev server logs earlier
865cb192 2025-09-16  ci(e2e): call preflight script directly to avoid npm script mismatch
9c70aa4d 2025-09-16  ci(e2e): ensure devDependencies installed in CI (npm ci --include=dev)
bdaf1d72 2025-09-16  ci(e2e): add diagnostics to preflight-check (node_modules listing, require.resolve, env vars)
1840b792 2025-09-16  ci(e2e): deeper preflight diagnostics (package-folder checks, require.resolve.paths, execPath, NODE_PATH)
64d98151 2025-09-16  ci(e2e): add non-fatal diagnostic step after npm ci to expose installed package folders and resolve.paths
7af65aac 2025-09-16  ci(e2e): remove workflow debug step causing schema/lint errors
8e118f7f 2025-09-16  ci(e2e): ensure frontend lockfile checked; trigger CI after local install attempt
1f983c92 2025-09-17  ci(e2e): regenerate frontend package-lock to include devDependencies (archiver, cypress)
8c9c649e 2025-09-17  (origin/feat/e2e-ci-timeout) ci(e2e): add archiver and cypress to frontend lockfile
42a7b4ce 2025-09-17  (feat/e2e-ci-timeout) Merge feat/e2e-ci-timeout: resolve conflicts preferring feature branch
cd24c5ba 2025-09-17  (origin/merge/feat-e2e) Merge feat/e2e-ci-timeout into main (prefer feature changes)
6f553581 2025-09-17  (HEAD -> main, origin/main, origin/HEAD) Merge pull request #34 from nandaaiinnovation-creator/merge/feat-e2e
